Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Family_Size,Spending_Score
Male,Yes,55,No,Artist,0,1,Low
Male,Yes,58,Yes,Artist,,1,Average
Female,No,38,Yes,Artist,0,1,Low
Male,Yes,63,Yes,Artist,0,2,High
Male,Yes,58,Yes,Doctor,1,2,Average
Male,Yes,30,No,Engineer,3,3,Average
Male,Yes,60,Yes,Artist,0,4,Average
Male,Yes,68,No,Executive,1,7,High
Male,Yes,52,No,Artist,0,3,Low
Male,Yes,38,No,Executive,0,5,High
Female,Yes,35,Yes,Healthcare,10,2,Low
Male,No,18,No,Doctor,1,2,Low
Male,Yes,30,Yes,Homemaker,3,2,Low
Male,No,86,No,Lawyer,1,1,Low
Female,,19,No,Healthcare,6,5,Low
Male,No,25,No,Healthcare,9,3,Low
Male,Yes,59,Yes,Entertainment,,4,Low
Female,No,39,Yes,Artist,0,1,Low
Female,Yes,50,Yes,Doctor,1,,Low
Male,No,47,Yes,Artist,1,1,Low
Male,Yes,43,Yes,Executive,0,3,High
Male,Yes,36,No,Executive,8,4,Average
Male,Yes,80,No,Lawyer,1,1,Low
Male,No,36,Yes,Artist,0,2,Low
Male,No,27,No,,2,7,Low
Female,Yes,37,Yes,Artist,1,2,High
Male,Yes,46,Yes,Executive,0,3,High
Male,Yes,55,No,Executive,1,4,High
Female,Yes,47,No,Engineer,9,4,Average
Female,No,28,Yes,Healthcare,1,3,Low
Male,Yes,39,No,Entertainment,9,2,Low
Female,Yes,27,No,Marketing,1,2,Low
Female,Yes,42,No,Engineer,0,,Low
Male,Yes,72,Yes,Artist,0,2,Average
Female,Yes,28,Yes,Engineer,0,2,Low
Male,No,35,Yes,Entertainment,8,5,Low
Male,Yes,39,Yes,Executive,9,5,High
Female,Yes,69,Yes,Lawyer,0,2,High
Male,No,18,No,Healthcare,6,4,Low
Male,Yes,46,Yes,Artist,,1,Low
Female,Yes,50,Yes,Engineer,1,2,High
Male,No,30,No,Executive,5,5,Low
Female,No,41,No,Artist,,2,Low
Female,No,39,Yes,Artist,3,4,Low
Female,No,29,No,Marketing,8,4,Low
Female,Yes,37,Yes,Artist,4,4,Low
Female,Yes,39,Yes,Engineer,0,2,Average
Female,Yes,48,Yes,Artist,0,5,Average
Female,No,32,Yes,Doctor,0,3,Low
Male,Yes,78,No,Lawyer,1,,Low
Female,Yes,43,No,Engineer,0,5,Average
Male,No,29,No,Marketing,8,5,Low
Female,Yes,28,No,Engineer,9,2,Average
Male,Yes,80,Yes,Lawyer,1,1,Low
Female,No,28,Yes,Healthcare,7,4,Low
Male,Yes,71,Yes,Artist,6,3,Average
Male,Yes,67,No,Lawyer,0,9,High
Female,No,26,No,Engineer,0,1,Low
Female,Yes,47,Yes,Engineer,0,2,Average
Female,Yes,43,Yes,Artist,2,2,Average
Female,No,27,Yes,Healthcare,0,4,Low
Female,Yes,45,Yes,Marketing,8,4,Low
Male,Yes,76,No,Executive,1,1,Low
Female,Yes,43,Yes,Artist,3,4,Average
Female,Yes,78,Yes,Lawyer,1,2,High
Male,Yes,35,Yes,Artist,3,3,Average
Female,No,49,Yes,Artist,1,1,Low
Female,No,25,Yes,Healthcare,1,5,Low
Male,Yes,37,No,Executive,0,5,Average
Female,No,32,No,Healthcare,1,5,Low
Male,Yes,60,Yes,Doctor,0,2,Average
Female,Yes,45,Yes,Artist,5,3,Average
Female,Yes,49,Yes,Homemaker,9,3,Average
Male,No,32,Yes,Artist,0,5,Low
Female,Yes,40,Yes,Artist,0,3,Low
Male,Yes,59,No,Artist,2,2,Average
Male,Yes,48,Yes,Artist,3,5,Low
Male,Yes,82,Yes,Executive,0,2,High
Female,Yes,70,Yes,Lawyer,0,2,Low
Male,No,31,Yes,Artist,5,2,Low
Female,Yes,72,Yes,Lawyer,0,2,High
Male,Yes,50,Yes,Artist,3,4,Average
Female,No,23,No,Engineer,11,1,Low
Female,No,20,No,Healthcare,2,6,Low
Female,No,22,No,Healthcare,4,3,Low
Female,No,31,Yes,Engineer,8,1,Low
Female,Yes,36,Yes,Artist,7,2,Average
Male,Yes,52,No,Entertainment,,5,Average
Female,No,29,Yes,Artist,,1,Low
Male,Yes,40,Yes,Artist,4,4,Average
Female,No,40,Yes,Artist,1,1,Low
Male,Yes,38,Yes,Artist,,2,Low
Female,Yes,85,No,Lawyer,,,Low
Female,No,21,No,Doctor,1,3,Low
Female,Yes,41,No,Engineer,4,2,Average
Male,Yes,40,Yes,Artist,0,2,Low
Male,Yes,53,Yes,Artist,1,3,Average
Female,Yes,42,Yes,Artist,5,2,Low
Male,Yes,42,No,Executive,8,2,Low
Male,Yes,48,Yes,Artist,,4,Average
Male,Yes,59,Yes,Artist,7,2,Low
Male,Yes,41,Yes,Executive,1,3,Average
Female,Yes,31,Yes,Artist,0,2,Average
Female,Yes,49,Yes,Artist,1,5,High
Male,Yes,67,Yes,Executive,1,2,Low
Male,Yes,35,No,Artist,4,2,Average
Female,No,26,Yes,Healthcare,0,3,Low
Male,,19,No,Healthcare,9,3,Low
Female,Yes,25,No,Engineer,6,8,Average
Female,Yes,39,Yes,Healthcare,4,2,Low
Male,Yes,63,Yes,Entertainment,0,2,Low
Male,No,23,No,Healthcare,8,3,Low
Female,No,23,No,Healthcare,0,3,Low
Female,Yes,53,Yes,Artist,2,1,Low
Male,No,33,Yes,Doctor,0,2,Low
Female,Yes,50,No,Engineer,,4,Average
Female,Yes,69,Yes,Engineer,0,2,Low
Male,No,37,Yes,Artist,2,1,Low
Female,No,20,No,Marketing,3,4,Low
Female,,85,No,Lawyer,0,1,High
Female,Yes,49,Yes,Doctor,1,4,Average
Male,No,18,No,Healthcare,0,3,Low
Female,Yes,52,Yes,Doctor,0,2,Average
Male,Yes,25,No,Doctor,,2,Average
Male,Yes,56,No,Executive,,2,High
Male,No,62,Yes,,0,1,Low
Female,No,35,,Artist,0,3,Low
Male,Yes,28,Yes,Engineer,0,2,Average
Female,No,28,Yes,Artist,7,3,Low
Male,No,20,No,Healthcare,0,5,Low
Female,No,27,No,Homemaker,8,1,Low
Female,No,56,No,Engineer,,1,Low
Male,Yes,45,Yes,Artist,4,4,Average
Male,No,25,Yes,Healthcare,1,4,Low
Male,No,40,No,Marketing,1,1,Low
Female,Yes,25,Yes,Healthcare,,2,Low
Female,Yes,74,No,Lawyer,,2,High
Female,No,23,No,Healthcare,0,4,Low
Female,Yes,67,Yes,Lawyer,0,2,High
Male,No,21,No,Healthcare,0,4,Low
Female,No,38,Yes,Artist,9,1,Low
Male,No,28,No,Healthcare,0,4,Low
Female,No,32,No,Healthcare,1,5,Low
Female,No,33,Yes,,0,4,Low
Female,Yes,56,No,Lawyer,1,4,High
Female,Yes,53,Yes,Artist,1,2,Low
Male,Yes,57,No,Executive,1,5,High
Female,Yes,59,Yes,Artist,0,3,Average
Female,Yes,25,Yes,Healthcare,1,4,High
Male,Yes,59,Yes,Artist,0,6,Average
Female,Yes,36,Yes,Artist,0,4,Low
Male,Yes,37,Yes,Entertainment,7,2,Low
Male,No,22,No,Doctor,1,3,Low
Male,Yes,43,Yes,Artist,1,2,Low
Male,Yes,41,Yes,Artist,1,2,Low
Female,No,21,No,Engineer,0,5,Low
Female,No,49,No,Engineer,1,,Low
Male,No,38,Yes,Doctor,8,1,Low
Male,Yes,47,No,Artist,,4,Average
Male,Yes,70,Yes,Lawyer,1,3,High
Female,No,31,No,Engineer,1,4,Low
Female,Yes,82,No,Lawyer,0,2,Average
Female,Yes,51,No,Executive,,1,Low
Female,No,42,No,Homemaker,11,,Low
Male,No,38,Yes,Artist,8,3,Low
Male,Yes,18,No,Executive,0,4,High
Male,Yes,50,Yes,Artist,6,3,Average
Female,No,46,Yes,Doctor,1,,Low
Female,Yes,72,No,Lawyer,1,3,High
Female,No,33,No,Engineer,,4,Low
Female,No,25,No,Homemaker,1,7,Low
Female,Yes,75,No,Entertainment,2,2,High
Male,No,72,Yes,Artist,1,1,Low
Female,Yes,72,Yes,Artist,0,3,Average
Male,Yes,36,Yes,Entertainment,6,6,Low
Male,Yes,40,Yes,Artist,1,2,Low
Female,No,28,Yes,Entertainment,0,4,Low
Female,No,28,Yes,Doctor,0,3,Low
Male,,19,No,Entertainment,0,3,High
Male,Yes,43,Yes,Artist,0,2,Low
Female,Yes,35,Yes,Artist,1,2,Average
Male,Yes,65,Yes,Lawyer,1,2,High
Male,Yes,52,Yes,Executive,7,4,High
Female,No,40,Yes,Artist,1,1,Low
Female,Yes,69,No,Engineer,9,3,Low
Female,No,22,No,Healthcare,3,3,Low
Male,Yes,47,Yes,Executive,1,4,Average
Male,Yes,29,Yes,Marketing,1,2,High
Male,Yes,46,Yes,Artist,1,3,Average
Male,No,32,Yes,Artist,1,2,Low
Female,No,38,Yes,Healthcare,0,1,Low
Male,Yes,59,Yes,Artist,0,1,Low
Female,No,26,Yes,Entertainment,1,1,Low
Male,No,26,Yes,Healthcare,1,2,Low
Male,No,28,No,Marketing,0,1,Low
Female,Yes,53,Yes,Engineer,1,3,Average
Female,No,43,,Entertainment,,1,Low
Male,No,27,No,Doctor,1,3,Low
Female,No,32,No,Artist,,8,Low
Male,No,26,No,Engineer,0,4,Low
Female,No,31,No,Entertainment,0,2,Low
Male,Yes,39,Yes,Executive,1,3,High
Female,Yes,43,No,Engineer,1,3,Low
Male,Yes,25,No,Doctor,1,2,Low
Male,Yes,40,Yes,Artist,3,3,High
Female,Yes,40,Yes,Entertainment,7,2,Average
Male,Yes,63,Yes,Entertainment,,3,Average
Female,Yes,27,Yes,Healthcare,,2,Low
Male,No,27,Yes,Healthcare,1,3,Low
Female,No,19,No,Healthcare,1,2,Low
Female,Yes,86,Yes,Lawyer,0,2,High
Male,Yes,41,Yes,Marketing,,2,High
Female,Yes,27,Yes,Artist,4,2,Average
Female,Yes,70,No,Doctor,0,2,Average
Female,Yes,53,No,Engineer,8,4,Average
Female,Yes,49,No,Engineer,,4,Average
Male,Yes,55,No,Executive,3,,Low
Female,,57,Yes,Engineer,0,4,Average
Male,Yes,83,No,Lawyer,,1,Low
Male,Yes,43,No,Executive,0,4,High
Male,Yes,36,No,Doctor,6,3,Low
Male,Yes,74,Yes,Lawyer,0,2,Low
Female,No,30,No,Homemaker,0,4,Low
Female,No,37,Yes,Artist,5,2,Low
Female,No,22,No,Marketing,0,1,Low
Male,No,19,No,Healthcare,0,4,Low
Male,Yes,70,Yes,Engineer,4,2,High
Male,Yes,89,Yes,Lawyer,13,1,Low
Male,No,18,No,Healthcare,,4,Low
Male,No,25,Yes,Doctor,6,1,Low
Female,No,45,Yes,Artist,4,1,Low
Female,No,35,Yes,Artist,3,1,Low
Female,Yes,37,No,Engineer,7,1,Low
Female,Yes,39,No,Engineer,4,2,Average
Female,No,32,Yes,Healthcare,1,5,Low
Female,Yes,62,Yes,Artist,2,3,Average
Female,Yes,58,Yes,Engineer,0,4,Average
Female,No,32,No,Engineer,,4,Low
Male,No,25,No,Healthcare,0,5,Low
Female,Yes,56,Yes,Artist,0,4,Average
Female,No,36,Yes,Entertainment,10,2,Low
Female,No,30,No,Healthcare,8,3,Low
Male,No,19,No,Healthcare,1,5,Low
Male,No,27,Yes,Healthcare,0,2,Low
Female,No,38,Yes,Doctor,14,1,Low
Male,Yes,46,Yes,Artist,8,2,Average
Male,No,29,Yes,Artist,3,1,Low
Male,Yes,51,No,Entertainment,1,4,Average
Male,Yes,55,No,Artist,0,1,Low
Female,Yes,69,Yes,Engineer,1,1,Low
Female,No,26,No,Healthcare,1,8,Low
Female,Yes,83,Yes,Lawyer,0,3,Low
Female,No,39,Yes,Healthcare,9,1,Low
Male,Yes,35,Yes,Artist,9,1,Low
Male,Yes,19,No,Marketing,2,5,High
Female,Yes,60,Yes,Artist,,4,High
Male,Yes,35,Yes,Artist,,4,Average
Female,No,53,Yes,Engineer,,1,Low
Female,Yes,86,No,Lawyer,,,Low
Female,No,29,No,Healthcare,1,3,Low
Female,No,26,No,Doctor,0,1,Low
Male,No,36,Yes,Engineer,8,1,Low
Female,No,22,No,Homemaker,0,4,Low
Male,No,19,No,Marketing,0,5,Low
Female,Yes,20,Yes,Lawyer,1,3,Average
Male,No,43,Yes,Healthcare,3,3,Low
Female,No,42,Yes,Artist,,3,Low
Male,No,43,Yes,Entertainment,1,2,Low
Female,Yes,50,Yes,Engineer,4,3,High
Male,No,25,Yes,Entertainment,1,2,Low
Male,Yes,61,No,Artist,1,2,High
Female,Yes,28,Yes,Healthcare,0,2,Average
Male,No,38,Yes,Artist,1,1,Low
Male,No,25,No,Executive,12,3,Low
Female,No,18,No,Healthcare,9,5,Low
Male,Yes,43,Yes,Entertainment,1,5,Average
Female,No,27,Yes,Artist,8,1,Low
Female,No,60,Yes,Entertainment,1,2,Low
Male,Yes,75,Yes,Lawyer,2,1,Low
Female,No,31,No,Doctor,,4,Low
Male,No,23,No,Doctor,6,4,Low
Male,No,36,Yes,Artist,8,1,Low
Male,No,30,No,Doctor,1,1,Low
Male,Yes,56,No,Artist,1,2,Average
Female,Yes,52,Yes,Artist,2,2,Low
Male,Yes,39,Yes,Entertainment,0,1,Low
Female,No,35,No,Artist,5,1,Low
Male,Yes,33,No,Engineer,0,2,Average
Female,No,25,Yes,Artist,0,6,Low
Female,Yes,27,Yes,Artist,0,2,Average
Male,Yes,35,Yes,Artist,1,3,High
Female,Yes,41,Yes,Artist,1,2,Average
Female,Yes,49,Yes,Artist,,3,Average
Female,Yes,46,No,Artist,8,2,Average
Female,No,31,No,Healthcare,,2,Low
Male,No,49,Yes,Doctor,,1,Low
Female,No,26,Yes,Artist,9,1,Low
Male,Yes,43,Yes,Doctor,13,2,High
Female,Yes,30,Yes,Artist,8,4,Low
Female,Yes,70,Yes,Artist,1,4,Average
Female,No,28,Yes,Artist,,1,Low
Female,Yes,89,No,Lawyer,3,1,High
Female,Yes,42,No,Homemaker,6,4,High
Female,Yes,37,Yes,Entertainment,6,3,Average
Male,Yes,29,No,Executive,1,3,Average
Female,Yes,68,Yes,Artist,1,2,High
Female,No,25,No,Engineer,1,1,Low
Male,No,29,No,Healthcare,1,,Low
Female,Yes,48,Yes,Doctor,0,2,Low
Female,Yes,51,Yes,Doctor,1,3,Average
Female,Yes,40,Yes,Engineer,1,5,High
Male,Yes,47,Yes,Artist,0,6,Average
Male,Yes,39,Yes,Executive,,3,High
Male,Yes,35,Yes,Executive,1,4,Average
Female,No,19,No,Healthcare,2,3,Low
Female,No,21,No,Healthcare,7,,Low
Male,Yes,46,Yes,Entertainment,0,3,Average
Male,Yes,86,Yes,Lawyer,0,1,Low
Male,Yes,66,Yes,Artist,0,2,High
Male,No,42,No,Marketing,1,5,Low
Female,Yes,73,Yes,Lawyer,1,2,High
Male,Yes,72,No,Engineer,1,1,Low
Male,Yes,53,Yes,Artist,0,3,Low
Female,Yes,39,Yes,Artist,8,2,Average
Female,No,27,No,Homemaker,9,1,Low
Male,Yes,63,No,Entertainment,1,,Average
Female,No,23,No,Healthcare,1,3,Low
Female,No,30,Yes,Entertainment,0,4,Low
Female,Yes,39,Yes,Artist,5,2,Average
Male,Yes,26,Yes,Artist,1,3,Average
Female,Yes,50,Yes,Entertainment,7,3,Low
Female,Yes,45,Yes,Artist,1,2,Average
Female,No,62,No,Entertainment,2,1,Low
Female,No,27,Yes,Doctor,1,3,Low
Male,Yes,57,Yes,Entertainment,1,,Low
Female,Yes,30,No,Engineer,1,7,Average
Male,No,32,No,Healthcare,7,4,Low
Male,No,18,,Executive,,5,Low
Male,No,47,No,Artist,3,3,Low
Female,No,32,Yes,Artist,4,4,Low
Female,Yes,32,No,Engineer,5,3,Low
Male,Yes,67,Yes,Doctor,1,4,Average
Female,Yes,77,Yes,Lawyer,0,2,High
Male,Yes,79,No,,0,2,Average
Male,No,31,No,Entertainment,1,1,Low
Male,Yes,42,Yes,Artist,0,3,Low
Female,No,18,No,,0,6,Low
Male,Yes,50,Yes,Artist,1,4,Average
Male,Yes,71,Yes,Artist,0,5,Average
Female,Yes,72,No,Lawyer,1,3,Low
Male,Yes,47,Yes,Artist,,3,Low
Male,Yes,45,Yes,Artist,9,2,Average
Female,No,40,No,Engineer,9,5,Low
Female,No,36,Yes,Engineer,4,1,Low
Female,No,42,Yes,Artist,,1,Low
Male,No,30,No,Healthcare,4,4,Low
Female,No,29,Yes,Healthcare,2,4,Low
Male,No,28,Yes,Engineer,0,5,Low
Male,,22,No,Healthcare,,2,Low
Male,Yes,85,No,Lawyer,,1,Low
Female,Yes,40,Yes,Artist,1,2,Average
Female,Yes,52,Yes,Artist,14,2,Average
Male,Yes,47,Yes,Artist,0,,Low
Male,No,26,No,Artist,6,6,Low
Female,No,55,Yes,Marketing,3,1,Low
Female,No,20,No,Doctor,4,4,Low
Female,Yes,87,Yes,Lawyer,0,2,High
Male,No,28,No,Healthcare,0,2,Low
Male,No,38,No,Artist,2,2,Low
Male,Yes,42,No,Entertainment,1,2,Low
Male,Yes,42,No,Marketing,0,6,High
Female,No,29,No,Engineer,1,4,Low
Male,No,32,Yes,Doctor,0,4,Low
Male,Yes,38,No,Executive,,5,High
Female,Yes,59,No,Artist,1,2,High
Male,No,22,No,Healthcare,0,2,Low
Female,No,26,No,Homemaker,9,,Low
Female,Yes,78,Yes,Artist,1,2,High
Female,No,32,Yes,Healthcare,0,3,Low
Male,Yes,37,Yes,Artist,0,4,Average
Male,Yes,37,Yes,Healthcare,1,4,High
Male,No,67,No,Lawyer,,2,Low
Male,Yes,47,No,Artist,0,4,High
Female,Yes,68,Yes,Lawyer,0,2,High
Male,No,30,Yes,Healthcare,3,5,Low
Female,Yes,48,Yes,Entertainment,2,1,Low
Female,No,43,Yes,Artist,6,1,Low
Male,Yes,33,Yes,Healthcare,9,2,Low
Male,Yes,31,No,Healthcare,0,5,Average
Male,Yes,32,Yes,Healthcare,1,2,Low
Female,No,21,No,Healthcare,1,4,Low
Female,No,29,No,Homemaker,2,4,Low
Female,Yes,35,Yes,Artist,1,2,Low
Male,Yes,46,No,Artist,0,3,Low
Female,Yes,38,Yes,Artist,9,2,High
Female,No,32,Yes,Healthcare,1,3,Low
Female,No,28,Yes,Artist,3,7,Low
Female,Yes,68,Yes,Lawyer,3,1,Low
Female,Yes,45,Yes,Artist,4,1,Low
Male,Yes,58,Yes,Artist,0,3,Average
Male,No,28,No,Entertainment,1,2,Low
Female,No,32,No,Healthcare,12,3,Low
Male,No,30,Yes,Doctor,1,1,Low
Female,Yes,42,No,Homemaker,3,4,Average
Male,No,22,No,,,6,Low
Male,No,41,Yes,Artist,,3,Low
Female,No,18,No,Healthcare,6,4,Low
Female,Yes,29,Yes,Healthcare,8,3,Low
Female,No,33,Yes,Healthcare,0,3,Low
Male,No,47,No,Artist,1,,Low
Female,Yes,57,Yes,Doctor,1,2,Low
Male,Yes,36,Yes,Executive,1,3,Low
Male,Yes,57,Yes,Executive,1,3,High
Male,No,18,No,Healthcare,1,2,Low
Male,,52,Yes,Artist,1,5,Average
Male,Yes,52,Yes,Artist,1,6,Average
Male,No,51,,Artist,6,4,Low
Female,Yes,37,Yes,Entertainment,0,2,Average
Male,No,36,Yes,Marketing,0,1,Low
Female,No,29,Yes,Healthcare,9,3,Low
Male,Yes,45,Yes,Artist,1,4,Average
Male,No,61,Yes,Artist,0,1,Low
Male,Yes,52,Yes,Entertainment,1,4,Average
Female,Yes,49,Yes,Homemaker,14,1,Low
Male,Yes,40,Yes,Entertainment,,2,Average
Female,No,31,No,Healthcare,1,5,Low
Male,Yes,42,No,Entertainment,1,3,Low
Male,Yes,51,Yes,Engineer,1,5,Average
Female,No,42,Yes,Healthcare,8,1,Low
Male,No,29,Yes,Doctor,1,4,Low
Female,No,33,Yes,Healthcare,8,1,Low
Male,No,27,Yes,Healthcare,,3,Low
Female,No,21,No,Healthcare,0,4,Low
Male,Yes,35,No,Artist,9,3,Average
Female,No,42,Yes,Doctor,0,1,Low
Female,No,41,Yes,Artist,2,1,Low
Male,No,39,Yes,Artist,0,3,Low
Female,No,28,No,Doctor,14,1,Low
Female,Yes,45,Yes,Engineer,3,,Average
Female,Yes,61,Yes,Doctor,1,2,Average
Male,Yes,62,Yes,Artist,0,4,Average
Male,Yes,65,Yes,Entertainment,1,2,Average
Male,Yes,45,Yes,Doctor,1,2,Average
Female,Yes,26,Yes,Engineer,9,2,Low
Female,No,25,Yes,Artist,4,5,Low
Female,Yes,45,Yes,Artist,1,4,Average
Male,Yes,43,No,Executive,0,4,High
Male,Yes,49,Yes,Executive,1,3,High
Male,Yes,55,Yes,Artist,1,2,Average
Female,No,37,Yes,Artist,3,1,Low
Male,Yes,65,Yes,Entertainment,1,2,High
Female,No,32,No,,10,5,Low
Female,No,39,No,Engineer,0,3,Low
Female,Yes,40,Yes,Artist,2,2,Average
Male,Yes,72,Yes,Entertainment,1,3,Average
Female,No,38,No,Homemaker,5,1,Low
Male,No,26,No,Marketing,0,5,Low
Male,No,30,Yes,Doctor,1,3,Low
Male,Yes,51,Yes,Homemaker,1,,Low
Male,No,57,Yes,Marketing,1,4,Low
Female,No,31,Yes,Healthcare,1,1,Low
Male,No,39,Yes,Artist,0,1,Low
Female,No,30,No,Engineer,0,4,Low
Female,Yes,43,No,Artist,0,3,Average
Male,No,27,Yes,Healthcare,8,1,Low
Female,Yes,46,No,Artist,0,4,Average
Male,Yes,43,No,Artist,1,2,Low
Male,Yes,69,Yes,Lawyer,,1,Low
Male,Yes,28,No,Entertainment,8,4,Average
Male,No,43,Yes,Entertainment,9,1,Low
Female,No,27,No,Healthcare,,5,Low
Female,No,28,Yes,Healthcare,1,3,Low
Male,No,33,No,Artist,,4,Low
Female,No,30,No,Engineer,0,1,Low
Male,No,58,No,Healthcare,4,2,Low
Female,No,38,Yes,Engineer,8,4,Low
Female,No,31,Yes,Artist,1,4,Low
Male,Yes,32,No,Executive,4,5,Average
Male,Yes,45,Yes,Artist,4,4,Average
Male,Yes,66,Yes,Artist,1,3,Low
Female,Yes,51,Yes,Artist,1,3,Average
Female,Yes,59,Yes,Artist,,2,Average
Female,No,40,Yes,Engineer,,1,Low
Male,Yes,46,Yes,Artist,11,5,Average
Male,No,20,No,Healthcare,1,6,Low
Female,Yes,84,No,Lawyer,1,2,High
Female,No,41,Yes,Marketing,,1,Low
Male,Yes,51,No,Artist,,3,Average
Male,Yes,57,Yes,Entertainment,8,5,Average
Female,No,33,No,Doctor,0,1,Low
Male,No,25,No,Marketing,3,3,Low
Male,Yes,55,Yes,Artist,,3,Average
Female,Yes,56,Yes,Executive,,4,High
Male,Yes,77,Yes,Lawyer,1,1,Low
Male,Yes,30,Yes,Healthcare,1,2,Low
Male,No,23,No,Healthcare,6,5,Low
Female,No,43,Yes,Artist,2,4,Low
Male,No,39,Yes,Entertainment,5,1,Low
Male,Yes,29,No,Executive,1,2,High
Male,Yes,37,Yes,Doctor,,2,Low
Female,Yes,45,No,Engineer,2,2,Low
Male,Yes,48,No,Executive,2,2,High
Male,Yes,27,No,Entertainment,0,4,Average
Female,Yes,60,No,Entertainment,9,4,Low
Male,Yes,45,Yes,Entertainment,4,3,Average
Male,No,31,Yes,Healthcare,,1,Low
Male,No,33,No,Doctor,1,4,Low
Male,,18,No,,6,4,High
Female,Yes,48,Yes,Artist,,3,Average
Female,Yes,83,No,Lawyer,,2,Low
Male,Yes,57,Yes,Executive,,4,Low
Male,No,26,Yes,Healthcare,,3,Low
